WC-1930,Uruguay,1930 FIFA World Cup,1
WC-1930,Argentina,1930 FIFA World Cup,2
WC-1930,United States,1930 FIFA World Cup,3
WC-1930,Yugoslavia,1930 FIFA World Cup,4
WC-1934,Italy,1934 FIFA World Cup,1
WC-1934,Czechoslovakia,1934 FIFA World Cup,2
WC-1934,Germany,1934 FIFA World Cup,3
WC-1934,Austria,1934 FIFA World Cup,4
WC-1938,Italy,1938 FIFA World Cup,1
WC-1938,Hungary,1938 FIFA World Cup,2
WC-1938,Brazil,1938 FIFA World Cup,3
WC-1938,Sweden,1938 FIFA World Cup,4
WC-1950,Uruguay,1950 FIFA World Cup,1
WC-1950,Brazil,1950 FIFA World Cup,2
WC-1950,Sweden,1950 FIFA World Cup,3
WC-1950,Spain,1950 FIFA World Cup,4
WC-1954,West Germany,1954 FIFA World Cup,1
WC-1954,Hungary,1954 FIFA World Cup,2
WC-1954,Austria,1954 FIFA World Cup,3
WC-1954,Uruguay,1954 FIFA World Cup,4
WC-1958,Brazil,1958 FIFA World Cup,1
WC-1958,Sweden,1958 FIFA World Cup,2
WC-1958,France,1958 FIFA World Cup,3
WC-1958,West Germany,1958 FIFA World Cup,4
WC-1962,Brazil,1962 FIFA World Cup,1
WC-1962,Czechoslovakia,1962 FIFA World Cup,2
WC-1962,Chile,1962 FIFA World Cup,3
WC-1962,Yugoslavia,1962 FIFA World Cup,4
WC-1966,England,1966 FIFA World Cup,1
WC-1966,West Germany,1966 FIFA World Cup,2
WC-1966,Portugal,1966 FIFA World Cup,3
WC-1966,Soviet Union,1966 FIFA World Cup,4
WC-1970,Brazil,1970 FIFA World Cup,1
WC-1970,Italy,1970 FIFA World Cup,2
WC-1970,West Germany,1970 FIFA World Cup,3
WC-1970,Uruguay,1970 FIFA World Cup,4
WC-1974,West Germany,1974 FIFA World Cup,1
WC-1974,Netherlands,1974 FIFA World Cup,2
WC-1974,Poland,1974 FIFA World Cup,3
WC-1974,Brazil,1974 FIFA World Cup,4
WC-1978,Argentina,1978 FIFA World Cup,1
WC-1978,Netherlands,1978 FIFA World Cup,2
WC-1978,Brazil,1978 FIFA World Cup,3
WC-1978,Italy,1978 FIFA World Cup,4
WC-1982,Italy,1982 FIFA World Cup,1
WC-1982,West Germany,1982 FIFA World Cup,2
WC-1982,Poland,1982 FIFA World Cup,3
WC-1982,France,1982 FIFA World Cup,4
WC-1986,Argentina,1986 FIFA World Cup,1
WC-1986,West Germany,1986 FIFA World Cup,2
WC-1986,France,1986 FIFA World Cup,3
WC-1986,Belgium,1986 FIFA World Cup,4
WC-1990,West Germany,1990 FIFA World Cup,1
WC-1990,Argentina,1990 FIFA World Cup,2
WC-1990,Italy,1990 FIFA World Cup,3
WC-1990,England,1990 FIFA World Cup,4
WC-1994,Brazil,1994 FIFA World Cup,1
WC-1994,Italy,1994 FIFA World Cup,2
WC-1994,Sweden,1994 FIFA World Cup,3
WC-1994,Bulgaria,1994 FIFA World Cup,4
WC-1998,France,1998 FIFA World Cup,1
WC-1998,Brazil,1998 FIFA World Cup,2
WC-1998,Croatia,1998 FIFA World Cup,3
WC-1998,Netherlands,1998 FIFA World Cup,4
WC-2002,Brazil,2002 FIFA World Cup,1
WC-2002,Germany,2002 FIFA World Cup,2
WC-2002,Turkey,2002 FIFA World Cup,3
WC-2002,South Korea,2002 FIFA World Cup,4
WC-2006,Italy,2006 FIFA World Cup,1
WC-2006,France,2006 FIFA World Cup,2
WC-2006,Germany,2006 FIFA World Cup,3
WC-2006,Portugal,2006 FIFA World Cup,4
WC-2010,Spain,2010 FIFA World Cup,1
WC-2010,Netherlands,2010 FIFA World Cup,2
WC-2010,Germany,2010 FIFA World Cup,3
WC-2010,Uruguay,2010 FIFA World Cup,4
WC-2014,Germany,2014 FIFA World Cup,1
WC-2014,Argentina,2014 FIFA World Cup,2
WC-2014,Netherlands,2014 FIFA World Cup,3
WC-2014,Brazil,2014 FIFA World Cup,4
WC-2018,France,2018 FIFA World Cup,1
WC-2018,Croatia,2018 FIFA World Cup,2
WC-2018,Belgium,2018 FIFA World Cup,3
WC-2018,England,2018 FIFA World Cup,4
